,text,index,left character,right character,left emote,right emote,RequireYN?,OnYes,OnNo,End Talkie ?,Talkie Motion
FR_1_1_Bubbles_57_T1,Burble burble!,24,Red,Bubbles,7_MC_EI,2_MO_EI,,,,,
FR_1_1_Bubbles_57_T2,...,25,Red,Bubbles,8_MC_EI,3_MC_EI,,,,,
FR_1_1_Bubbles_57_T3,POP!,26,Red,Bubbles,5_MC_EI,4_MO_EC,,,,,
FR_1_1_Red_58_T1,Bubbles...,27,Red,Bubbles,9_MO_EI,5_MO_EI,,,,,
FR_1_1_Red_58_T2,Oh!,28,Red,Bubbles,5_MO_EI,1_MC_EI,,,,,
FR_1_1_Red_58_T3,Is that your name? Bubbles?,29,Red,Bubbles,9_MO_EI,1_MC_EI,,,,,
FR_1_1_Bubbles_59_T1,Bubble Bubble! ,30,Red,Bubbles,9_MC_EI,6_MO_EC,,,,,
FR_1_1_Bubbles_59_T2,POP!,31,Darwin,Bubbles,5_MC_EI,4_MO_EC,,,,,
FR_1_1_Darwin_60_T1,Bubbles it is then!,32,Darwin,Bubbles,2_MO_EI,5_MO_EI,,,,,
FR_1_1_Bubbles_61_T1,Bubble bubble... ,33,Darwin,Bubbles,1_MC_EI,6_MO_EC,,,,,
FR_1_1_Bubbles_61_T2,Gorp... ooooo...,34,Darwin,Bubbles,6_MC_EI,1_MO_EC,,,,,
FR_1_1_Darwin_62_T1,While we can’t fully understand you~ I can at least tell you’re injured,35,Darwin,Bubbles,6_MO_EI,7_MC_EI,,,,,
FR_1_1_Red_63_T1,Oh! You’re right!,36,Red,Wally,5_MO_EI,6_MC_EI,,,,,
FR_1_1_Wally_64_T1,And that’s where we come in!,37,Red,Wally,2_MC_EI,5_MO_EI,,,,,
FR_1_1_Red_65_T2,Don’t worry friend! ,38,Red,Bubbles,3_MO_EI,7_MC_EI,,,,,
FR_1_1_Red_65_T3,My friends and I will help patch you up~ and clean up your space!,39,Red,Bubbles,14_MO_EI,7_MC_EI,,,,,
FR_1_1_Bubbles_66_T1,Bubble!,40,Red,Bubbles,2_MC_EI,6_MO_EC,,,,,
FR_1_1_Wally_67_T1,All right.,41,Wally,Darwin,1_MO_EI,10_MC_EO,,,,,
FR_1_1_Wally_67_T2,Darwin~ you keep trying to come up with stories to help Julius.,42,Wally,Darwin,5_MO_EI,5_MC_EI,,,,,
FR_1_1_Wally_67_T3,Red~ the Explorer~ and I will clean this place up and help Bubbles.,43,Wally,Darwin,5_MO_EP,1_MC_EP,,,,,
FR_1_1_Darwin_68_T1,Sounds like a plan.,44,Wally,Darwin,1_MC_EI,1_MO_EI,,,,,
FR_1_1_Darwin_68_T2,I’m counting on you!,45,Wally,Darwin,2_MC_EI,2_MO_EP,,,,,
FR_1_1_Red_69_T1,Right!,46,Red,Darwin,2_MO_EI,2_MC_EI,,,,,
FR_1_1_Red_69_T2,Let’s do it!,47,Red,Darwin,3_MO_EC,9_MC_EO,,,,,
,,,,,,,,,,,
$Title,OctopusQuips_1_p1,,,,,,,,,,
$Quip Collection,yes,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
FR_1_2_Bubbles_1_T1,*distressed bubble sounds*,0,,Bubbles,,1_MC_EC,,,,yes,
,,,,,,,,,,,
$Title,OctopusQuips_2_p1,,,,,,,,,,
$Quip Collection,yes,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
FR_1_2_Bubbles_2_T1,*happy bubble sounds*,0,,Bubbles,,8_MO_EP,,,,yes,
,,,,,,,,,,,
$Title,CliffRebuilt_1_p1,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,no,,,,,,,,,,
$Segments,,,,,,,,,,,
FR_1_3_Red_1_T1,Hurray!,0,Red,Wally,3_MO_EC,15_MC_EP,,,,,
FR_1_3_Red_1_T2,We did it!,1,Red,Wally,4_MO_EC,2_MC_EO,,,,,
FR_1_3_Wally_2_T1,It looks good!,2,Red,Wally,2_MC_EI,2_MO_EP,,,,,
FR_1_3_Wally_2_T2,Great job Explorer.,3,Red,Wally,2_MC_EP,15_MO_EP,,,,,
FR_1_3_Darwin_3_T1,You all did so well!,4,Wally,Darwin,4_MC_EI,2_MO_EP,,,,,
FR_1_3_Darwin_3_T2,I’m impressed yet again!,5,Wally,Darwin,11_MC_EO,4_MO_EC,,,,,
FR_1_3_Red_4_T1,How about you Bubbles?,6,Red,Bubbles,8_MO_EI,8_MC_EI,,,,,
FR_1_3_Red_4_T2,Do you feel any better?,7,Red,Bubbles,9_MO_EI,8_MC_EI,,,,,
FR_1_3_Bubbles_5_T1,Boorble Burble Bubble!,8,Red,Bubbles,2_MC_EI,8_MO_EC,,,,,
FR_1_3_Wally_6_T1,*haha*,9,Wally,Bubbles,11_MO_EI,8_MC_EI,,,,,
FR_1_3_Wally_6_T2,We'll take that as a yes.,10,Wally,Bubbles,2_MO_EI,8_MC_EI,,,,,
FR_1_3_Red_7_T1,How about you Darwin? ,11,Red,Darwin,9_MO_EI,10_MC_EO,,,,,
FR_1_3_Red_7_T2,Think of any stories to tell the Prince?,12,Red,Darwin,2_MO_EI,5_MC_EI,,,,,
FR_1_3_Darwin_8_T1,Oh yes! ,13,Red,Darwin,2_MC_EI,13_MO_EI,,,,,
FR_1_3_Darwin_8_T2,I can’t wait to tell him!,14,Red,Darwin,1_MC_EI,4_MO_EC,,,,,
FR_1_3_Darwin_8_T3,Come on gang! Let’s go find him!,15,Red,Darwin,5_MC_EI,3_MO_EO,,,,,
,,,,,,,,,,,
$Title,CliffRebuilt_1_p2,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,left,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,no,,,,,,,,,,
$Segments,,,,,,,,,,,
FR_1_3_Red_9_T1,Darwin wait! ,0,Red,Wally,15_MO_EI,6_MC_EI,,,,,
FR_1_3_Wally_10_T1,Sigh,1,Red,Wally,8_MC_EI,12_MO_EC,,,,,
FR_1_3_Wally_10_T2,We just talked about this...,2,Red,Wally,11_MC_EC,12_MO_EI,,,,,
FR_1_3_Red_11_T1,At any rate we should catch up to him!,3,Red,Wally,2_MO_EI,4_MC_EI,,,,,
RedWally_Huh,Huh?!,4,Red,Wally,5_MO_EI,6_MO_EI,,,,,
,,,,,,,,,,,
$Title,CliffRebuilt_1_p3,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,right,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
Marcus_Laugh,HA HA HA!!!!,0,Marcus,Brutus,6_MO,8_MC,,,,,
Brutus_Laugh,Heh heh... ,1,Marcus,Brutus,6_MC,8_MO,,,,,
FR_1_3_Julius_12_T1,I see Darwin just keeps running off.,2,Marcus,Julius,6_MC,3_MO_EI,,,,,
FR_1_3_Marcus_13_T1,Of course he does your majesty!,3,Marcus,Julius,2_MO,21_MC_EO,,,,,
FR_1_3_Brutus_14_T1,Yawn…,4,Marcus,Brutus,3_MC,6_MO,,,,,
FR_1_3_Brutus_14_T2,Yeah who would wanna leave like that…,5,Marcus,Brutus,3_MC,7_MO,,,,,
FR_1_3_Red_15_T1,That’s so mean! He just left to find you!,6,Red,Brutus,6_MO_EI,5_MC,,,,,
FR_1_3_Marcus_16_T1,HA! Lies!,7,Red,Marcus,5_MC_EI,6_MO,,,,,
FR_1_3_Marcus_16_T2,That air head! He's never around when you need him!,8,Red,Marcus,6_MC_EI,7_MO,,,,,
FR_1_3_Marcus_16_T3,Amiright?,9,Red,Marcus,6_MC_EI,3_MO,,,,,
FR_1_3_Julius_17_T1,…,10,Red,Julius,6_MC_EI,21_MC_EI,,,,,
FR_1_3_Julius_17_T2,But It’s true though…,11,Red,Julius,6_MC_EI,21_MO_EO,,,,,
FR_1_3_Red_18_T1,Huh?!,12,Red,Julius,5_MO_EI,21_MC_EI,,,,,
FR_1_3_Wally_19_T1,What did you say?,13,Wally,Julius,6_MO_EI,21_MC_EI,,,,,
FR_1_3_Bubbles_20_T1,Bubble?,14,Bubbles,Julius,9_MO_EI,21_MC_EI,,,,,
FR_1_3_Julius_21_T1,…,15,Bubbles,Julius,9_MC_EI,21_MC_EO,,,,,
FR_1_3_Julius_21_T2,That’s none of your business!,16,Bubbles,Julius,11_MC_EI,15_MO_EC,,,,,
FR_1_3_Marcus_22_T1,That’s right!,17,Marcus,Brutus,8_MO,7_MC,,,,,
FR_1_3_Marcus_22_T2,None of your bee’s wax!,18,Marcus,Brutus,2_MO,7_MC,,,,,
FR_1_3_Brutus_23_T1,What bees?…,19,Marcus,Brutus,5_MC,3_MO,,,,,
FR_1_3_Marcus_24_T1,HUSH!,20,Marcus,Brutus,4_MO,3_MC,,,,,
FR_1_3_Julius_25_T1,You know what’s next.,21,Red,Julius,7_MC_EI,9_MO_EP,,,,,
FR_1_3_Julius_25_T2,If you beat me you can move forward.,22,Red,Julius,10_MC_EI,11_MO_EP,,,,,
FR_1_3_Julius_25_T3,If you don’t then you have to leave me alone.,23,Red,Julius,10_MC_EI,2_MO_EP,,,,,
FR_1_3_Red_26_T1,Go get 'em Explorer!,24,Red,Wally,2_MO_EC,4_MC_EP,,,,,
FR_1_3_Wally_27_T1,I believe in you!,25,Red,Wally,2_MC_EP,5_MO_EP,,,,,
FR_1_3_Bubbles_28_T1,Bubble Bubble!!!,26,Bubbles,,10_MO_EP,,,,,,
FR_1_3_Julius_29_T1,Beware! I’ve been practicing!,27,,Julius,,2_MO_EP,,,,,
,,,,,,,,,,,
$Title,CliffDefeated_1_p1,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,sides,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,no,,,,,,,,,,
$Segments,,,,,,,,,,,
FR_1_4_Julius_1_T1,Augh~ This is just embarrassing!,0,,Julius,,21_MO_EP,,,,,
FR_1_4_Marcus_2_T1,Yeah~ you got that right!,1,Marcus,Brutus,4_MO,5_MC,,,,,
FR_1_4_Brutus_3_T1,Yawn…,2,Marcus,Brutus,5_MC,6_MO,,,,,
FR_1_4_Red_4_T1,Good job friend! ,3,Red,Wally,3_MO_EP,4_MC_EI,,,,,
FR_1_4_Wally_5_T1,Amazing!,4,Red,Wally,2_MC_EI,11_MO_EP,,,,,
FR_1_4_Bubbles_6_T1,Bubble bubble!!,5,Bubbles,,8_MO_EP,,,,,,
FR_1_4_Julius_7_T1,Whatever!,6,,Julius,,9_MO_EI,,,,,
FR_1_4_Julius_7_T2,Next time I’ll win you'll see!,7,,Julius,,9_MO_EP,,,,,
,,,,,,,,,,,
$Title,CliffDefeated_1_p2,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,no,,,,,,,,,,
$Segments,,,,,,,,,,,
FR_1_4_Marcus_8_T1,Exactly! Watch your back!,0,Marcus,Brutus,4_MO,6_MO,,,,,
FR_1_4_Brutus_9_T1,Yeah…,1,Marcus,Brutus,5_MC,7_MO,,,,,
FR_1_4_Brutus_9_T2,Exactly…,2,Marcus,Brutus,5_MC,4_MO,,,,,
FR_1_4_Brutus_9_T3,Especially for bees heh heh..,3,Marcus,Brutus,4_MC,3_MO,,,,,
FR_1_4_Marcus_9_T1,Grrr~ Quiet you!!,4,Marcus,Brutus,4_MO,3_MC,,,,,
,,,,,,,,,,,
$Title,CliffDefeated_1_p3,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
FR_1_4_Red_10_T1,Sigh,0,Red,Wally,7_MO_EI,7_MC_EI,,,,,
FR_1_4_Red_10_T2,I hope we can help him soon.,1,Red,Wally,8_MO_EI,7_MC_EI,,,,,
FR_1_4_Wally_11_T1,Yeah…,2,Red,Wally,8_MC_EI,7_MO_EI,,,,,
FR_1_4_Bubbles_12_T1,Bubble bubble...,3,Red,Bubbles,1_MC_EI,11_MO_EI,,,,,
FR_1_4_Red_13_T1,Don’t worry Bubbles~ we’ll help your Prince out!,4,Red,Bubbles,2_MO_EI,11_MC_EO,,,,,
FR_1_4_Red_13_T2,He’ll stop being destructive in no time!,5,Red,Bubbles,3_MO_EI,11_MC_EO,,,,,
FR_1_4_Wally_14_T1,We give you our word.,6,Wally,Bubbles,5_MO_EI,11_MC_EI,,,,,
FR_1_4_Bubbles_15_T1,Burble Bubble!,7,Wally,Bubbles,4_MC_EI,12_MO_EO,,,,,
FR_1_4_Red_16_T1,Anyway.,8,Red,Wally,1_MO_EI,1_MC_EI,,,,,
FR_1_4_Red_16_T2,Let’s move forward~ friends!,9,Red,Wally,2_MO_EP,4_MC_EP,,,,,
FR_1_4_Wally_17_T1,Yeah! Let’s get going!,10,Red,Wally,2_MC_EC,5_MO_EP,,,,,
,,,,,,,,,,,
$Title,PirateIntro_1_p1,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
FR_2_1_Red_1_T1,Whoa! Look at that!,0,Red,Wally,5_MO_EI,6_MC_EI,,,,,
FR_2_1_Wally_2_T1,I’ve never seen a pirate ship before!,1,Red,Wally,5_MC_EI,6_MO_EI,,,,,
FR_2_1_Red_3_T1,Me neither!,2,Red,Wally,2_MO_EI,4_MC_EI,,,,,
FR_2_1_Wally_4_T1,Hmm… It seems to be in rough shape.,3,Red,Wally,1_MC_EI,9_MO_EI,,,,,
FR_2_1_Red_5_T1,Do you think the Prince did this?,4,Red,Wally,9_MO_EI,1_MC_EI,,,,,
FR_2_1_Wally_6_T1,I wouldn’t be surprised.,5,Red,Wally,8_MC_EI,1_MO_EI,,,,,
FR_2_1_Wally_6_T2,However~ this ship looks like it's been falling apart for a while now.,6,Red,Wally,1_MC_EI,9_MO_EI,,,,,
FR_2_1_Red_7_T1,True~ it does look that way.,7,Red,Wally,9_MO_EI,1_MC_EI,,,,,
FR_2_1_RedWally_8_T1,H-Help! …. Help…,8,Red,Wally,5_MO_EI,6_MO_EI,,,,,
RedWally_Huh,Huh?!,9,Red,Wally,5_MO_EI,6_MO_EI,,,,,
FR_2_1_Ollie_9_T1,Pl-please.. He-help m-me…Help me….,10,,Ollie,,7_MO_EC,,,,,
FR_2_1_Red_10_T1,Oh! ,11,Red,Ollie,5_MO_EI,7_MC_EI,,,,,
FR_2_1_Red_10_T2,Are you alright?! What happened? ,12,Red,Ollie,7_MO_EI,7_MC_EC,,,,,
FR_2_1_Ollie_11_T1,I -I don’t k-know… It all happened so f-fast… so fast...,13,Red,Ollie,8_MC_EI,8_MO_EC,,,,,
FR_2_1_Red_12_T1,What’s your name?,14,Red,Ollie,8_MO_EI,8_MC_EI,,,,,
FR_2_1_Ollie_13_T1,I-It’s O-Ollie...ollie…,15,Red,Ollie,6_MC_EI,2_MO_EI,,,,,
FR_2_1_Red_14_T1,Oh you poor thing. ,16,Red,Ollie,8_MO_EI,2_MC_EC,,,,,
FR_2_1_Red_14_T2,Don’t worry~ We’re going to get you and your ship all patched up okay?,17,Red,Ollie,17_MO_EC,2_MC_EC,,,,,
FR_2_1_Wally_15_T1,Hmm...,18,Wally,Ollie,10_MC_EI,2_MC_EI,,,,,
FR_2_1_Ollie_16_T1,R-really...Really?,19,Red,Ollie,2_MC_EI,3_MO_EI,,,,,
FR_2_1_Red_17_T1,Of course!,20,Red,Ollie,3_MO_EC,4_MC_EI,,,,,
FR_2_1_Ollie_18_T1,O-okay… t-thank you… thank you…,21,Red,Ollie,2_MC_EI,4_MO_EI,,,,,
FR_2_1_Red_19_T1,Okay Explorer!,22,Red,Wally,2_MO_EP,7_MC_EI,,,,,
FR_2_1_Red_19_T2,Let’s get to work!,23,Red,Wally,14_MO_EP,7_MC_EI,,,,,
,,,,,,,,,,,
$Title,OllieQuips_1_p1,,,,,,,,,,
$Quip Collection,yes,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
FR_2_2_Ollie_1_T1,H-help m-me p-please… help me please… ,0,,Ollie,,2_MO_EC,,,,,
FR_2_2_Ollie_1_T2,P-play some m-more? Play some more…,1,,Ollie,,8_MO_EC,,,,yes,
FR_2_2_Ollie_2_T1,P-practice more? Practice more….,2,,Ollie,,8_MO_EC,,,,yes,
FR_2_2_Ollie_3_T1,P-play? Play….,3,,Ollie,,8_MO_EC,,,,yes,
,,,,,,,,,,,
$Title,OllieQuips_2_p1,,,,,,,,,,
$Quip Collection,yes,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
FR_2_3_Ollie_1_T1,Ahoy there! ,0,,Ollie,,11_MO_EP,,,,,
FR_2_3_Ollie_1_T2,Want to play some games!? ,1,,Ollie,,10_MO_EC,,,,,
FR_2_3_Ollie_1_T3,And maybe help me to your coins! ,2,,Ollie,,11_MO_EP,,,,,
FR_2_3_Ollie_1_T4,Your coins!,3,,Ollie,,5_MO_EI,,,,yes,bounce
FR_2_3_Ollie_2_T1,You’re back matey?,4,,Ollie,,6_MO_EP,,,,,
FR_2_3_Ollie_2_T2,Let’s practice some more! ,5,,Ollie,,12_MO_EI,,,,,
FR_2_3_Ollie_2_T3,Practice more!,6,,Ollie,,12_MO_EC,,,,yes,bounce
FR_2_3_Ollie_3_T1,Hello again matey!,7,,Ollie,,11_MO_EP,,,,,
FR_2_3_Ollie_3_T2,Let’s play more games! ,8,,Ollie,,5_MO_EI,,,,,
FR_2_3_Ollie_3_T3,More games!,9,,Ollie,,4_MO_EI,,,,yes,bounce
,,,,,,,,,,,
$Title,PirateRebuilt_1_p1,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,no,,,,,,,,,,
$Segments,,,,,,,,,,,
FR_2_4_Red_1_T1,There!,0,Red,,2_MO_EI,,,,,,
FR_2_4_Red_1_T2,All done! ,1,Red,,3_MO_EC,,,,,,
FR_2_4_Wally_2_T1,How are you feeling?,2,Wally,,10_MO_EI,,,,,,
FR_2_4_Ollie_3_T1,Oh I’m feeling a bit better!,3,Red,Ollie,11_MC_EI,5_MO_EI,,,,,
FR_2_4_Ollie_3_T2,Ahem!,4,Red,Ollie,5_MC_EI,6_MO_EI,,,,,
FR_2_4_Ollie_3_T3,A bit better! ,5,Red,Ollie,2_MC_EI,7_MO_EC,,,,,
FR_2_4_Wally_4_T1,Is that so?,6,Wally,Ollie,10_MC_EI,7_MC_EI,,,,,
FR_2_4_Ollie_5_T1,O-oh yes!,7,Wally,Ollie,10_MC_EI,6_MO_EI,,,,,
FR_2_4_Ollie_5_T2,However~ I think some coins will help me feel much better!,8,Wally,Ollie,6_MC_EI,8_MO_EI,,,,,
FR_2_4_Ollie_5_T3,Much better!,9,Wally,Ollie,6_MC_EI,5_MO_EI,,,,,bounce
FR_2_4_Red_6_T1,What?!,10,Red,Ollie,5_MO_EI,5_MC_EI,,,,,
FR_2_4_Wally_7_T1,I knew it.,11,Wally,Ollie,1_MO_EI,5_MC_EI,,,,,
FR_2_4_Wally_7_T2,You weren’t really hurt were you?,12,Wally,Ollie,9_MO_EI,6_MC_EI,,,,,
FR_2_4_Wally_7_T3,You just wanted the Explorers' coins.,13,Wally,Ollie,10_MO_EI,6_MC_EI,,,,,
FR_2_4_Red_8_T1,Is that true?,14,Red,Ollie,6_MO_EI,6_MC_EI,,,,,
FR_2_4_Ollie_9_T1,Sigh,15,Red,Ollie,6_MC_EI,9_MO_EO,,,,,
FR_2_4_Ollie_9_T2,It is. It is,16,Red,Ollie,6_MC_EI,7_MO_EC,,,,,
FR_2_4_Red_10_T1,Why would you do such a thing like that?!,17,Red,Ollie,5_MO_EI,9_MC_EO,,,,,
FR_2_4_Ollie_11_T1,I’m a pirate~ I like coins.,18,Red,Ollie,10_MC_EI,10_MO_EI,,,,,
FR_2_4_Ollie_11_T2,After my ship got damaged~ I needed more coins to fix it up so I could sail the open seas again. Seas again!,19,Red,Ollie,10_MC_EI,9_MO_EI,,,,,
FR_2_4_Wally_12_T1,You could have just asked us.,20,Red,Wally,6_MC_EI,10_MO_EI,,,,,
FR_2_4_Red_13_T1,What you did isn’t nice Ollie.,21,Red,Wally,6_MO_EI,10_MC_EI,,,,,
FR_2_4_Ollie_14_T1,I know…,22,Red,Ollie,10_MC_EI,10_MO_EC,,,,,
FR_2_4_Ollie_14_T2,I’m sorry. ,23,Red,Ollie,1_MC_EI,9_MO_EO,,,,,
FR_2_4_Ollie_14_T3,I’m sorry…,24,Red,Ollie,11_MC_EI,9_MO_EI,,,,,bounce
FR_2_4_Wally_15_T1,You should always be honest. ,25,Wally,Ollie,1_MO_EI,9_MC_EO,,,,,
FR_2_4_Wally_15_T2,It’s okay to ask for help.,26,Wally,Ollie,4_MO_EI,9_MC_EC,,,,,
FR_2_4_Red_16_T1,That’s right~ honesty is key. Deceiving people~,27,Red,Ollie,7_MO_EI,9_MC_EI,,,,,
FR_2_4_Red_16_T2,especially those who wish to help~,28,Red,Ollie,8_MO_EI,9_MC_EI,,,,,
FR_2_4_Red_16_T3,just isn't nice.,29,Red,Ollie,7_MO_EI,9_MC_EI,,,,,
FR_2_4_Ollie_17_T1,You're right. ,30,Red,Ollie,8_MC_EI,10_MO_EC,,,,,
FR_2_4_Ollie_17_T2,I truly am sorry. ,31,Red,Ollie,11_MC_EI,14_MO_EI,,,,,
FR_2_4_Ollie_17_T3,I’m sorry.,32,Red,Ollie,2_MC_EI,7_MO_EC,,,,,bounce
FR_2_4_Red_18_T1,It’s okay! I accept your apology.,33,Red,Ollie,3_MO_EC,9_MC_EI,,,,,
FR_2_4_Wally_19_T1,I forgive you as well.,34,Wally,Ollie,2_MO_EI,9_MC_EI,,,,,
FR_2_4_Ollie_20_T1,Does that mean you’ll give me your coins?! ,35,Wally,Ollie,6_MC_EI,5_MO_EI,,,,,
FR_2_4_Ollie_20_T2,Your coins!,36,Wally,Ollie,10_MC_EI,5_MO_EI,,,,,bounce
FR_2_4_Red_21_T1,Ollie!,37,Wally,Red,10_MC_EI,1_MO_EI,,,,,
FR_2_4_Wally_22_T1,Are you serious?,38,Wally,Red,8_MO_EI,1_MC_EI,,,,,
FR_2_4_Ollie_23_T1,Haha kidding! ,39,Wally,Ollie,6_MC_EI,12_MO_EC,,,,,
FR_2_4_Ollie_23_T2,Kidding!,40,Wally,Ollie,2_MC_EO,5_MO_EI,,,,,bounce
FR_2_4_Red_24_T1,chuckles,41,Red,Ollie,2_MO_EC,5_MC_EI,,,,,
FR_2_4_Red_24_T2,I was about to say.,42,Red,Ollie,11_MO_EC,5_MC_EI,,,,,
FR_2_4_Ollie_25_T1,Anyway! ,43,Red,Ollie,1_MC_EI,10_MO_EI,,,,,
FR_2_4_Ollie_25_T2,You all are invi-,44,Red,Ollie,1_MC_EI,11_MO_EI,,,,,
,,,,,,,,,,,
$Title,PirateRebuilt_1_p2,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
Marcus_Laugh,HA HA HA!!!!,0,Marcus,Brutus,6_MO,8_MC,,,,,
Brutus_Laugh,Heh heh... ,1,Marcus,Brutus,6_MC,8_MO,,,,,
RedWally_Oh,Oh!,2,Red,Wally,5_MO_EI,6_MO_EI,,,,,
FR_2_4_Ollie_26_T1,Oh my! ,3,Ollie,Julius,6_MO_EI,1_MC_EI,,,,,
FR_2_4_Ollie_26_T2,Oh my!,4,Ollie,Julius,8_MO_EO,1_MC_EI,,,,,bounce
FR_2_4_Julius_26_T1,I see you fixed up this old run down ship.,5,Ollie,Julius,6_MC_EI,6_MO_EI,,,,,
Marcus_Laugh,HA HA HA!!!!,6,Marcus,Brutus,6_MO,8_MC,,,,,
FR_2_4_Marcus_27_T1,That sad ship hasn't been out on the ocean in years! ,7,Marcus,Brutus,3_MO,6_MO,,,,,
FR_2_4_Marcus_27_T2,Must have a sad captain!,8,Marcus,Brutus,8_MO,7_MC,,,,,
Brutus_Laugh,Heh heh... ,9,Marcus,Brutus,6_MC,8_MO,,,,,
FR_2_4_Brutus_28_T1,sad ship.,10,Marcus,Brutus,3_MC,3_MO,,,,,
FR_2_4_Ollie_29_T1,Oi!,11,Ollie,Marcus,13_MO_EI,5_MC,,,,,bounce
FR_2_4_Ollie_29_T2,Don't talk about my beautiful ship that way!,12,Ollie,Marcus,13_MO_EI,5_MC,,,,,
FR_2_4_Marcus_30_T1,Silence commoner! How dare you act this way in front of the future King!,13,Ollie,Marcus,13_MC_EI,4_MO,,,,,
FR_2_4_Marcus_30_T2,He has every right to talk down on your sad~ silly little ship! ,14,Ollie,Marcus,13_MC_EI,2_MO,,,,,
FR_2_4_Brutus_31_T1,Yeah ,15,Marcus,Brutus,2_MC,4_MO,,,,,
FR_2_4_Brutus_31_T2,Yawn… ,16,Marcus,Brutus,5_MC,6_MO,,,,,
FR_2_4_Brutus_31_T3,Every right.,17,Marcus,Brutus,5_MC,7_MO,,,,,
FR_2_4_Marcus_32_T1,WAKE UP YOU BABOON!,18,Marcus,Brutus,4_MO,3_MC,,,,,
FR_2_4_Ollie_33_T1,I...I…,19,Ollie,,7_MO_EC,,,,,,
FR_2_4_Red_34_T1,Hey! ,20,Red,Marcus,5_MO_EI,5_MC,,,,,
